Failure Analysis,Masters or PhD in Materials Engineering or equivalent 
Failure Analysis,10 years’ experience in a professional engineering laboratory environment and background in reliability testing and analysis.  
Failure Analysis,Deep understanding of statistical sampling methods. 
Failure Analysis, Deep understanding of root cause/corrective action methods to identify contributing factors of production defects. 
Failure Analysis,"Understands server microprocessor architectures, including the operation of related subsystems, interfaces, and components. "
Failure Analysis,In Depth knowledge of reliability test methods. 
Failure Analysis,"In Depth knowledge in the physics of failure for ASIC, PCB assembled materials "
Failure Analysis,"In Depth knowledge of AC/DC, DC/DC power architectures.   "
Failure Analysis,In Depth knowledge of industry reliability test methods and controls.   
Failure Analysis,In depth knowledge of server components. 
Failure Analysis,"Able to communicate effectively in written and oral manner, so that all stakeholders have clear understanding of issues and metrics "
Failure Analysis,Can use and apply complex statistics to evaluate product reliability and highlight potential product risks 
Failure Analysis,Has strong communication and project management skills 
Consultant,"Good knowledge and experience in Azure - Azure Active Directory, WSUS, ExpressRoute, Hybrid Runbook Workers, OMS, VNET & NSGs "
Consultant,"Implement, deploy and configure Azure VMs, Storage, Network & Connectivity  "
Consultant,Manage hosting plans for Azure Infrastructure 
Consultant,Knowledge in implementing & deploying workloads on Azure virtual machines (VMs) 
Consultant,"Implement storage related to blobs, Azure files, SQL & recovery services and managing the storage access "
Consultant,Implement and Integrate Azure Active Directory with AD Migration 
Consultant,Design and Implement Azure Site Recovery and Azure Backup 
Consultant,Good knowledge in windows PowerShell scripting and Azure automation 
Consultant,Build VMs in Azure using Azure Resource Manager (ARM) Templates  
Consultant,EMS/OMS experience would be added advantage 
Consultant,"Experience in Linux, Red Hat, good understanding of installation and configuration of supported Linux distributions on Azure platform "
Consultant,Experience in running SAP applications across dev/test and production scenarios in Azure.  
Consultant,Experience in SAP and migrating its critical S/4HANA systems to Azure 
Support Engineer,"·        Bachelor's or postgraduate degree in Computer Science, Information Systems, Electrical Engineering or equivalent experience."
Support Engineer,·        Solid English written and verbal communication skills
Support Engineer,"·        Be familiar with firewalls/hardware load balancer, reverse proxy (SNAT&DNAT) and PKI system configuration (Certificate/SSL/TLS)"
Support Engineer,"·        Be familiar with Network related knowledge (DNS, DHCP, and SNMP)."
Support Engineer,·        Basic understanding on Cloud Services
Support Engineer,"·        Solid knowledge in Lync, skype for business , Microsoft Teams or other similar product is preferred"
Support Engineer,"·        Knowledge of IP-PBX, IP Gateway and PSTN technology, such as E1/T1, PRI, CAS/CCS with Avaya/Cisco PBX experience as a plus."
Support Engineer,·        Knowledge of O365 Services
Support Engineer,·        Be familiar with PowerShell
Support Engineer,·        Knowledge of Azure and Azure Active Directory is a plus
Support Engineer,·        Previous customer technical support or similar experience is a plus
Support Engineer,·        Hard working and great passion on new information technology.
Support Engineer,·        Quick learning and troubleshooting skills are mandatory requirements.
Support Engineer,·        Fluent written/oral English to communicate with native English speaking customer is a must to have capability
Support Engineer,"·        Be flexible in working shift for example, from 7AM to 4PM or working during Tuesday to Saturday"
Senior Hardware Program Manager - Growth Mindset - CSI / Azure - Cloud Server Infrastructure,"Minimum BS in Electrical Engineering, Mechanical Engineering, Computer Engineering or similar field (or similar experience)"
Senior Hardware Program Manager - Growth Mindset - CSI / Azure - Cloud Server Infrastructure,"5 years or greater industry experience working in the technology field or on development of electromechanical devices, from definition to delivery"
Senior Hardware Program Manager - Growth Mindset - CSI / Azure - Cloud Server Infrastructure,Direct experience working with vendors for HW development.
Senior Hardware Program Manager - Growth Mindset - CSI / Azure - Cloud Server Infrastructure,Strong ability to work across multiple organizations
Senior Hardware Program Manager - Growth Mindset - CSI / Azure - Cloud Server Infrastructure,Familiarity with the key elements of server and data center architecture
Senior Hardware Program Manager - Growth Mindset - CSI / Azure - Cloud Server Infrastructure,"Ability to take ownership, receiving guidance when appropriate, of assigned projects and be responsible for meeting development commitments"
Senior Hardware Program Manager - Growth Mindset - CSI / Azure - Cloud Server Infrastructure,"Effective communication skills required, including the ability to clearly express technical concepts in verbal and written forms"
Senior Hardware Program Manager - Growth Mindset - CSI / Azure - Cloud Server Infrastructure,"Must be able to plan work and work to your plan, adapting as necessary, in a rapidly evolving environment"
Software Engineer ll - CTJ,"2+ years of scripting and/or programming experience (preferably Python, Ruby or Java)"
Software Engineer ll - CTJ,2+ years of experience with Linux (Ubuntu) system administration
Software Engineer ll - CTJ,Deep knowledge of system design & architecture
Software Engineer ll - CTJ,Excellent testing and troubleshooting skills
Software Engineer ll - CTJ,Ability to work as part of an on-call rotation and to contribute to multiple projects/demands simultaneously
Software Engineer ll - CTJ,"Out of the box, quick and agile thinking to adapt to fast pace and changing environment"
Software Engineer ll - CTJ,"Deep understanding of complex, large scale online services (preferably Azure based)"
Software Engineer ll - CTJ,Working knowledge of databases as well as Big Data systems is a plus
Software Engineer ll - CTJ,"Experience with Build systems and CI/CD tools (Jenkins, Azure DevOps (VSTS))"
Software Engineer ll - CTJ,Experience with container orchestration such as Kubernetes
Software Engineer ll - CTJ,Experience defining and measuring internal/customer facing OLA/SLAs
Software Engineer ll - CTJ,Citizenship Verification: This position requires verification of US Citizenship to meet federal government security requirements.
Software Engineer ll - CTJ,Candidates must have an active TS and be willing to upgrade to TS/SCI (with polygraph) or have an active TS/SCI and be willing to upgrade to TS/SCI (with polygraph). This role will require candidates to maintain the TS/SCI (with polygraph) clearance.
Software Engineer ll - CTJ,Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter. 
"Senior Software Engineer, Multiplayer Gameplay",5+ years of professional experience with C++ 
"Senior Software Engineer, Multiplayer Gameplay",Professional game development experience on one or more shipped titles
"Senior Software Engineer, Multiplayer Gameplay","Strong communication, problem-solving, and debugging skills"
"Senior Software Engineer, Multiplayer Gameplay",Passion for creating great experiences for players!
"Senior Software Engineer, Multiplayer Gameplay",Experience working closely with creative team members to deliver features
"Senior Software Engineer, Multiplayer Gameplay",Experience working on large and complex codebases.
"Senior Software Engineer, Multiplayer Gameplay","Experience with Lua, particularly as an embedded scripting language"
"Senior Software Engineer, Multiplayer Gameplay",Experience working with multithreaded game engines 
Software Engineer,Bachelor's degree in Computer Science or related technical field
Software Engineer,·         1+ years of professional experience in software development
Software Engineer,·         1+ years of experience coding in an object-oriented programming language
Software Engineer,Experience building cloud services is a plus
Senior Software Engineer - Services,"Passion for building highly scalable, highly reliable services "
Senior Software Engineer - Services,1-3 years of software engineering experience
Senior Software Engineer - Services,BS or MS in Computer Science or equivalent
Senior Software Engineer - Services,A history of delivering quality software
Senior Software Engineer - Services,Azure\Cloud experience
Senior Software Engineer - Services,Passion for gaming 
Microsoft Technology Center Architect - Dynamics,Dynamics Architect. The expertise and ability to integrate complex elements and customer requirements into innovative technical architectures in the Customer Engagement and Connected Operations spaces integrating with the customer’s architecture required.
Microsoft Technology Center Architect - Dynamics,"Cloud Trust. High-level expertise in sophisticated identity, authentication, security, privacy, and compliance requirements, and experience integrating them into cloud and hybrid solutions required."
Microsoft Technology Center Architect - Dynamics,"Technical breadth. Enterprise customer level experience with cloud, hybrid infrastructures and adjacent technologies, architecture designs, migrations, and industry standards required."
